job_id,skill_id,skill_importance
1,2,Required
1,8,Required
1,21,Required
2,2,Required
2,20,Required
2,21,Required
3,1,Required
3,2,Required
3,12,Required
4,2,Required
4,7,Required
4,20,Preferred
5,1,Required
5,16,Required
5,23,Preferred
6,2,Required
6,25,Required
7,12,Required
7,13,Required
7,23,Required
8,1,Required
8,4,Required
8,5,Required
9,4,Required
9,7,Preferred
10,1,Required
10,4,Required
11,2,Required
11,8,Required
11,22,Required
12,2,Required
12,8,Required
12,20,Required
13,1,Required
13,14,Required
13,12,Required
14,2,Required
14,7,Required
14,18,Required
15,1,Required
15,16,Required
15,23,Preferred
16,2,Required
16,25,Required
16,24,Preferred
17,12,Required
17,13,Required
17,23,Required
18,1,Required
18,5,Required
18,6,Required
19,4,Required
19,7,Required
19,10,Preferred
20,1,Required
20,4,Required
20,11,Preferred
21,2,Required
21,8,Required
21,22,Required
22,2,Required
22,8,Required
22,20,Required
23,1,Required
23,14,Required
23,12,Required
24,2,Required
24,7,Required
24,18,Preferred
25,1,Required
25,17,Required
25,23,Preferred
26,2,Required
26,25,Required
26,24,Required
27,12,Required
27,13,Required
27,23,Required
28,1,Required
28,5,Required
28,7,Required
29,4,Required
29,7,Required
29,10,Preferred
30,1,Required
30,4,Required
30,11,Preferred
31,2,Required
31,8,Required
31,21,Required
32,2,Required
32,8,Required
32,20,Required
33,1,Required
33,14,Required
33,12,Required
34,2,Required
34,7,Required
34,18,Preferred
35,1,Required
35,15,Required
35,23,Preferred
36,2,Required
36,25,Required
36,24,Required
37,12,Required
37,13,Required
37,23,Required
38,1,Required
38,5,Required
38,7,Required
39,4,Required
39,7,Required
39,10,Preferred
40,1,Required
40,4,Required
40,11,Preferred
41,2,Required
41,8,Required
41,22,Required
42,2,Required
42,8,Required
42,20,Required
43,1,Required
43,14,Required
43,12,Required
44,2,Required
44,7,Required
44,18,Preferred
45,1,Required
45,16,Required
45,23,Preferred
46,2,Required
46,25,Required
46,24,Required
47,12,Required
47,13,Required
47,23,Required
48,1,Required
48,5,Required
48,6,Required
49,4,Required
49,7,Required
49,10,Preferred
50,1,Required
50,4,Required
50,11,Preferred
